Total Resources	Largest Network	Tiles Lost	Final Network	Resources_Spent	Nothing's Built	Snowman's Built	Fort's Built	Snow Factory's Built	Healing Pool's Built	Tree's Built	Base's Built	
150	1	0	1	0	0	0	0	0	0	0	1	
460	3	0	3	1600	0	0	0	0	2	0	1	
1040	4	0	4	2400	0	0	0	0	3	0	1	
1800	5	0	5	3200	0	0	0	0	4	0	1	
2750	6	0	6	4000	0	0	0	0	5	0	1	
3850	7	0	7	5600	0	0	0	1	5	0	1	
5450	8	0	8	7200	0	0	0	2	5	0	1	
7450	9	0	9	8000	0	0	0	2	6	0	1	
10000	10	0	10	9600	0	0	0	3	6	0	1	
13350	12	0	12	11200	0	0	0	4	6	1	1	
16950	12	0	12	11200	0	0	0	4	6	1	1	
20550	12	0	12	11200	0	0	0	4	6	1	1	
24150	12	0	12	11200	0	0	0	4	6	1	1	
